TEAM,GP,W,L,MIN,OPPFGM,OPPFGA,OPPFG%,OPP3PM,OPP3PA,OPP3P%,OPPFTM,OPPFTA,OPPFT%,OPPOREB,OPPDREB,OPPREB,OPPAST,OPPTOV,OPPSTL,OPPBLK,OPPBLKA,OPPPF,OPPPFD,OPPPTS,+/-
Orlando Magic,11,4,7,48,37,85.7,43.2,10.2,32,31.8,14.9,19.8,75.2,8.5,37.6,46.2,21.7,14.4,6.3,4.5,6.7,19.7,19.5,99.1,-0.3
Utah Jazz,11,8,3,48,36.2,86.1,42,9.1,29.6,30.7,18.1,23.7,76.2,9.4,33.5,42.9,18,15.1,7.2,4.5,3.7,23.9,22.9,99.5,-5
Los Angeles Lakers,11,9,2,48.5,36.6,86.9,42.2,10.3,32.9,31.2,17.4,22.4,77.6,9.5,34,43.5,23.2,17,7.8,4,7.4,20.2,20.9,100.9,-9.9
Denver Nuggets,11,8,3,48.9,37.2,87.3,42.6,10.2,33.1,30.8,17.4,23.9,72.6,10.5,36.5,47.1,24.2,14.5,6.7,5.4,4.9,21.7,21.3,101.9,-2.8
Indiana Pacers,11,7,4,48.5,37.7,85.7,44,11.1,30.5,36.3,17.5,23.4,74.7,10,33.6,43.6,23.4,16.7,6.3,4.5,5.5,19.5,22.8,104,-5.5
Miami Heat,11,8,3,48.5,37.5,86,43.6,10.7,37.5,28.6,19.3,26.5,72.6,9.5,32.5,42,24.3,18.5,8.8,4.6,5.6,23.5,23.5,104.9,-6.5
Philadelphia 76ers,11,7,4,48,38.4,83.5,46,10,27.2,36.8,19.2,27.2,70.6,7.5,33,40.5,20.8,16.2,8.8,4.1,6,21.7,24.5,105.9,-2.6
Oklahoma City Thunder,11,4,7,48,40,89.7,44.6,8.8,29.5,29.9,17.2,20.9,82.2,10.5,36,46.5,21.4,15.4,7.5,5.2,4.6,22.7,20.5,106,0.7
Toronto Raptors,11,8,3,48.5,38.6,95.5,40.5,13.2,38.5,34.2,16.2,21.3,76.1,13.5,36.5,50,25,15.5,6.7,6.1,5.7,21.5,22.4,106.6,-6
Boston Celtics,10,9,1,48,37.9,88.5,42.8,11.5,34,33.8,19.6,26,75.4,11.7,37.3,49,22.1,15.4,4.5,5.7,6.5,24,23.1,106.9,-9.2
Cleveland Cavaliers,11,4,7,48,41.7,89.1,46.8,11.2,33,33.9,12.5,16.6,74.9,9.7,36.1,45.8,25.4,14.9,7.8,6.8,3.5,21.9,17.8,107.1,1.8
LA Clippers,12,7,5,48,38.4,88.5,43.4,13.3,35.6,37.2,18.5,24.5,75.5,10.3,34.7,44.9,21.3,15.3,7.3,5.3,5.3,24.9,23.4,108.6,-3
New York Knicks,12,3,9,48,38.5,83.5,46.1,12,34.2,35.1,20.7,26.7,77.5,9.5,36.5,46,22.8,15.3,7.9,4.5,4.3,21,24.2,109.7,9.7
Sacramento Kings,10,4,6,48,41.1,83.8,49,11.6,31.4,36.9,16.5,21.8,75.7,8,33.2,41.2,23.3,15.8,8.3,4.8,5,20.4,22.8,110.3,4.7
Chicago Bulls,12,4,8,48,39.5,85.7,46.1,11.1,32.9,33.7,20.4,27.8,73.6,12.2,38.1,50.3,23.8,19.6,7.8,6.5,3.9,22,22.9,110.5,3.1
Phoenix Suns,11,7,4,48.5,39.7,86.6,45.9,9.9,29.3,33.9,21.2,27.9,75.9,8.9,35.3,44.2,23.7,18,8,5.3,3.9,26,25,110.5,-7.1
Atlanta Hawks,11,4,7,48.5,39.4,88.3,44.6,11.8,35.5,33.3,21.2,27,78.5,11.4,32.6,44,23.5,16.2,9,7.1,5.3,21.8,23,111.7,4.7
Dallas Mavericks,11,6,5,48.5,42.3,91.4,46.3,12.1,33.5,36,15.1,20.4,74.1,11,35.6,46.6,23.7,13.5,7.9,4.4,4.6,24.5,19.9,111.7,-2.5
Milwaukee Bucks,11,8,3,48.5,38.9,93.4,41.7,14.9,40,37.3,19.4,25.4,76.3,9.4,38.2,47.5,23.5,15.8,6.9,3.5,5.9,23.8,23,112.1,-8.2
Detroit Pistons,12,4,8,48,42.5,87.2,48.8,10.8,28.4,37.8,16.8,21.4,78.2,9,31.6,40.6,26.9,15.1,8.4,4,5.4,21.9,21.2,112.5,3.6
Charlotte Hornets,11,4,7,48.5,44,89.1,49.4,11.8,33.2,35.6,13.9,18,77.3,10.5,35.5,45.9,27.2,18.2,9.5,5.8,3.7,22.4,19.6,113.7,6.9
Portland Trail Blazers,12,4,8,48.4,40,91.2,43.9,11.2,32.7,34.2,22.8,28.3,80.3,11.8,36.8,48.7,22.9,14.8,7.7,6.3,6.1,21.8,23.9,113.9,1.8
San Antonio Spurs,11,5,6,48,42.9,90.3,47.5,10.6,29.5,36,17.7,22.8,77.7,8.1,35.5,43.6,24.4,12.6,8.1,5.2,5.4,22.3,20.1,114.2,1.8
Houston Rockets,11,8,3,48,43,94.5,45.5,13.5,37.1,36.3,16.6,22.3,74.7,10.9,37.7,48.6,25.5,15.7,8.7,4.7,5.7,22.9,21.9,116.1,-2.5
Minnesota Timberwolves,11,7,4,49.4,42.9,92.6,46.3,11.7,30.3,38.7,18.6,25.2,74,10.7,36.6,47.4,24.2,18.3,8.1,5.8,6.2,24.5,22.1,116.2,-1
Memphis Grizzlies,11,4,7,48.5,42.5,91.7,46.3,12.8,36,35.6,21.1,26.6,79.2,9.7,35.9,45.6,24.6,15.4,8.4,6,5.9,19.8,23.5,118.8,8.8
Brooklyn Nets,11,4,7,48.9,44.3,96.7,45.8,12.2,33.2,36.7,18.8,24.3,77.5,9.7,35.6,45.4,22.5,12.5,9.1,5.4,5.1,22.2,22.9,119.5,2.7
Washington Wizards,9,2,7,48,43.6,91.8,47.5,12.6,33.3,37.7,20.3,25.4,79.9,12,34.8,46.8,25.9,15.8,7.2,6.1,4.9,21.6,23.2,120,4.4
Golden State Warriors,12,2,10,48.4,45,91.4,49.2,13.6,34.8,39.1,17.5,23.1,75.8,11.6,35.4,47,27.1,15.7,7.5,5.3,3.8,20.3,19.6,121.1,10.8
New Orleans Pelicans,11,3,8,48.5,43.7,92.3,47.4,13.4,37,36.1,22,27.8,79.1,10.6,36.2,46.8,25.8,17.2,8.2,4.5,5,22.2,25.2,122.8,4.5
Atlanta Hawks,82,29,53,48.4,42.8,90.5,47.3,12.4,34.4,35.9,21.5,28.3,75.8,10.6,35.4,46,26.9,15,9.9,5.5,5.1,22.2,23.6,119.4,6
Boston Celtics,82,49,33,48.2,39.5,88.1,44.8,11.5,33.5,34.4,17.4,22.8,76.4,10.4,35.5,45.9,23.7,15.1,6.8,3.9,5.3,19.5,20.4,108,-4.4
Brooklyn Nets,82,42,40,48.7,42.2,92.5,45.6,10.3,30.3,34.1,17.6,22.8,77,11,35.2,46.2,23.7,13.5,7.8,5.3,4.1,22,21.5,112.3,0.1
Charlotte Hornets,82,39,43,48.4,41.9,89.2,47,12.1,33.5,36.1,15.9,20.2,78.7,10.1,35.7,45.8,26,13.5,6.9,6,4.9,20.6,18.9,111.8,1.1
Chicago Bulls,82,22,60,48.5,42.2,89.2,47.3,12.1,33,36.5,16.8,22,76.3,10,36.4,46.4,25.5,13.3,7.3,5.8,4.3,18.7,20.3,113.4,8.4
Cleveland Cavaliers,82,19,63,48.2,43.2,87.2,49.5,12,31.6,38,15.8,20.5,77,9.5,34.6,44.1,25.7,12.5,6.9,5.6,2.4,19.4,20,114.1,9.6
Dallas Mavericks,82,33,49,48.2,40.9,89.2,45.9,11.2,32.5,34.4,17.1,22,77.7,10.2,34.6,44.8,24.5,13,7.8,4.5,4.3,23.2,20.1,110.1,1.3
Denver Nuggets,82,54,28,48.1,39.6,86.4,45.8,10.8,31.9,33.9,16.7,22.2,75.3,9.7,32.7,42.5,24.6,13.5,7.4,5,4.4,20.4,20,106.7,-4
Detroit Pistons,82,41,41,48.4,39.9,85,46.9,9.6,27.8,34.5,17.9,23.7,75.5,9.1,34.6,43.7,23.7,14.1,6.9,5.1,4,21.3,22.1,107.3,0.2
Golden State Warriors,82,57,25,48.3,40.4,91.1,44.4,11.6,33.6,34.7,18.7,24.2,77.3,10.8,33.5,44.3,24.3,13.5,7.7,3.6,6.4,19.5,21.4,111.2,-6.5
Houston Rockets,82,53,29,48.4,40.4,86.7,46.6,10.1,29.8,34,18.2,23.7,76.8,11,34.5,45.4,23.5,15,7.4,4.5,4.9,20,22,109.1,-4.8
Indiana Pacers,82,48,34,48.1,38.7,86.1,45,11.4,32.1,35.4,15.8,21,75.6,10.5,33.1,43.7,24.5,15.7,7.4,5.2,4.9,20,19.4,104.7,-3.3
LA Clippers,82,48,34,48.4,41.7,91.3,45.7,10.4,30.2,34.3,20.5,26.3,77.7,11.3,34.5,45.7,24.1,13.2,8.3,6.1,4.7,24,23.3,114.3,-0.9
Los Angeles Lakers,82,37,45,48.2,41.9,92.8,45.2,11.8,34,34.9,17.8,22.7,78.4,11.3,35.6,46.9,25,14.2,8.3,5.1,5.4,20.8,20.7,113.5,1.7
Memphis Grizzlies,82,33,49,48.5,37.6,83.4,45.1,11.6,32.2,36,19.3,24.7,78.4,9.5,35.2,44.7,23.4,15.2,7.6,4.9,5.5,21.4,22,106.1,2.6
Miami Heat,82,39,43,48.1,38.3,86.8,44.1,11.9,33.1,35.8,17.5,22.7,76.9,10.1,34,44.2,23.3,14.1,7.5,4.7,5.5,20.1,20.9,105.9,0.2
Milwaukee Bucks,82,60,22,48.2,40.5,93.5,43.3,13.1,36.3,36.1,15.1,20.7,73.3,9.9,35.4,45.3,24.8,13.4,6.8,4.8,5.9,20.2,19.6,109.3,-8.9
Minnesota Timberwolves,82,36,46,48.4,42.1,90.1,46.7,12.7,33.6,37.8,17.1,22.3,76.7,11.2,34.4,45.6,26.2,14.7,6.6,5.5,5,21.9,20.3,114,1.5
New Orleans Pelicans,82,33,49,48.2,43.3,92.8,46.6,12.3,33.7,36.4,17.9,23.5,76.4,11,34.8,45.8,26.5,13.6,8.6,5.4,5.4,21,21.1,116.8,1.3
New York Knicks,82,17,65,48.2,41.9,89.7,46.7,11.8,32.6,36.3,18.2,23.8,76.6,10.7,36.8,47.5,25.6,13.2,7.4,5.6,5.1,20.8,20.9,113.8,9.2
Oklahoma City Thunder,82,49,33,48.4,40.8,88.7,46,11.2,31.6,35.6,18.3,24,76.1,9.9,35.8,45.7,24.9,16.7,8.2,5.1,5.2,22.5,22.4,111.1,-3.4
Orlando Magic,82,42,40,48.2,39.9,87.6,45.6,10.5,30.2,34.7,16.3,20.9,77.8,9,35.6,44.6,23.1,13,7,4.4,5.4,18.7,18.6,106.6,-0.7
Philadelphia 76ers,82,51,31,48.3,41.7,91.5,45.5,10.3,30,34.2,18.8,24.5,76.8,10,33.5,43.5,23.4,12.7,7.7,4.1,5.3,22.1,21.3,112.5,-2.7
Phoenix Suns,82,19,63,48.5,42.5,88.2,48.2,11.1,29.9,37.2,20.8,27.6,75.3,11.8,35.3,47.2,25.9,15.7,9,5,5.1,20.7,23.6,116.8,9.3
Portland Trail Blazers,82,53,29,48.4,41.1,90,45.7,10.7,29.8,35.9,17.5,22.8,77,10.3,32.6,42.8,23.2,12.4,7.4,5.1,5,20.7,20.4,110.5,-4.2
Sacramento Kings,82,39,43,48.1,42.3,90.6,46.6,12,34.6,34.8,18.8,24.4,77,11.2,36.8,48,24.7,15.9,7.5,5.1,4.4,21.4,21.4,115.3,1.1
San Antonio Spurs,82,48,34,48.3,41.5,89.7,46.3,11.7,32.7,35.9,15.2,20.2,75.5,9.2,34.7,43.9,24.7,12.2,7.2,4,4.7,19.6,18.1,110,-1.7
